epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-07-01,83,SP,Tupã,3555000,city,51,77.83408,2,2,0,0.0392,65524,False,False
27,2020-07-01,65,SP,Tupi Paulista,3555109,city,42,271.05518,0,0,0,0.0,15495,False,False
27,2020-07-01,15,SP,Turiúba,3555208,city,1,49.60317,0,1,0,1.0,2016,False,False
27,2020-07-01,29,SP,Turmalina,3555307,city,4,231.61552,0,0,0,0.0,1727,False,False
27,2020-07-01,21,SP,Ubarana,3555356,city,11,174.3541,0,0,0,0.0,6309,False,False
27,2020-07-01,80,SP,Ubatuba,3555406,city,160,176.21339,4,9,0,0.0563,90799,False,False
27,2020-07-01,55,SP,Ubirajara,3555505,city,19,397.48954,1,1,0,0.0526,4780,False,False
27,2020-07-01,58,SP,Uchoa,3555604,city,43,425.32146,2,5,1,0.1163,10110,False,False
27,2020-07-01,56,SP,União Paulista,3555703,city,10,542.29935,0,0,0,0.0,1844,False,False
27,2020-07-01,39,SP,Urânia,3555802,city,69,757.07702,7,5,0,0.0725,9114,False,False
27,2020-07-01,57,SP,Uru,3555901,city,4,343.34764,0,1,0,0.25,1165,False,False
27,2020-07-01,49,SP,Urupês,3556008,city,9,65.17489,1,0,0,0.0,13809,False,False
27,2020-07-01,47,SP,Valentim Gentil,3556107,city,77,577.8178,3,0,0,0.0,13326,False,False
27,2020-07-01,99,SP,Valinhos,3556206,city,600,464.42145,53,14,0,0.0233,129193,False,False
27,2020-07-01,54,SP,Valparaíso,3556305,city,90,339.87915,6,5,1,0.0556,26480,False,False
27,2020-07-01,64,SP,Vargem,3556354,city,17,161.33624,2,1,0,0.0588,10537,False,False
27,2020-07-01,62,SP,Vargem Grande do Sul,3556404,city,45,105.02976,2,0,0,0.0,42845,False,False
27,2020-07-01,105,SP,Vargem Grande Paulista,3556453,city,204,387.85482,2,15,0,0.0735,52597,False,False
27,2020-07-01,79,SP,Várzea Paulista,3556503,city,449,368.52214,15,31,0,0.069,121838,False,False
27,2020-07-01,16,SP,Vera Cruz,3556602,city,1,9.22254,0,0,0,0.0,10843,False,False
27,2020-07-01,93,SP,Vinhedo,3556701,city,317,402.65217,25,10,0,0.0315,78728,False,False
27,2020-07-01,55,SP,Viradouro,3556800,city,37,195.78791,1,3,0,0.0811,18898,False,False
27,2020-07-01,72,SP,Vista Alegre do Alto,3556909,city,47,533.48468,0,2,0,0.0426,8810,False,False
27,2020-07-01,11,SP,Vitória Brasil,3556958,city,1,54.34783,0,0,0,0.0,1840,False,False
27,2020-07-01,93,SP,Votorantim,3557006,city,515,420.47681,18,19,1,0.0369,122480,False,False
27,2020-07-01,93,SP,Votuporanga,3557105,city,504,533.06821,31,14,1,0.0278,94547,False,False
27,2020-07-01,42,SP,Zacarias,3557154,city,10,367.91759,0,0,0,0.0,2718,False,False
27,2020-07-01,128,SP,,35,state,289935,631.40463,8555,15030,267,0.0518,45919049,False,False
